Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,29.219999,29.530001,28.340000,29.000000,28.692942,25757000
2012-02-01,29.090000,29.340000,28.580000,29.250000,28.940294,18148300
2012-03-01,29.190001,29.500000,27.559999,28.100000,27.802471,21538900
2012-04-01,28.100000,28.360001,26.980000,27.290001,27.001049,17521900
2012-05-01,27.230000,27.450001,25.959999,26.080000,25.803860,14534300
2012-06-01,25.850000,28.260000,25.700001,28.219999,27.921200,18460000
2012-07-01,28.440001,30.440001,28.340000,30.129999,29.810976,37511600
2012-08-01,30.049999,30.549999,29.500000,30.420000,30.097906,29107100
2012-09-01,30.469999,30.870001,28.889999,29.410000,29.098600,22682800
2012-10-01,29.450001,29.639999,28.580000,28.930000,28.623682,14364700
2012-11-01,29.049999,29.170000,28.150000,28.850000,28.544531,11420300
2012-12-01,29.070000,29.110001,27.780001,27.950001,27.654060,10783700
2013-01-01,28.209999,28.340000,27.459999,27.910000,27.614483,19281900
2013-02-01,27.980000,28.000000,26.129999,26.400000,26.120470,21280300
2013-03-01,26.260000,26.420000,25.879999,25.900000,25.625765,19553400
2013-04-01,25.990000,26.260000,25.450001,26.219999,25.942375,15200800
2013-05-01,26.040001,26.360001,25.219999,25.490000,25.220106,13101400
2013-06-01,25.709999,25.840000,24.879999,24.900000,24.636353,14885700
2013-07-01,24.870001,25.400000,24.459999,24.629999,24.369211,10810000
2013-08-01,24.469999,25.549999,24.360001,25.080000,24.814447,10836800
2013-09-01,25.320000,25.639999,25.010000,25.290001,25.022224,12429600
2013-10-01,25.180000,25.850000,25.049999,25.049999,24.784763,13372000
2013-11-01,25.129999,25.129999,24.639999,24.840000,24.576988,11406400
2013-12-01,24.870001,24.900000,24.219999,24.250000,23.993235,9587300
2014-01-01,24.250000,24.850000,24.040001,24.650000,24.389000,9034200
2014-02-01,24.889999,27.410000,24.760000,27.370001,27.080200,15986600
2014-03-01,27.480000,28.950001,27.440001,28.330000,28.030035,28190800
2014-04-01,28.309999,29.410000,27.799999,29.270000,28.960083,19915400
2014-05-01,29.190001,29.280001,27.440001,27.709999,27.416599,20924400
2014-06-01,27.559999,28.150000,27.309999,27.459999,27.169247,12829700
2014-07-01,27.330000,27.500000,26.000000,26.809999,26.526129,16277400
2014-08-01,26.920000,27.070000,25.740000,26.459999,26.179834,9289300
2014-09-01,26.549999,26.700001,25.000000,25.549999,25.279470,8256600
2014-10-01,25.520000,26.719999,25.480000,25.660000,25.388306,10804700
2014-11-01,25.660000,25.969999,25.230000,25.540001,25.269577,8520700
2014-12-01,25.520000,25.870001,24.809999,24.889999,24.626459,8903500
